Data as of,Start Date,End Date,Sex,Age Years,Total deaths,COVID-19 Deaths
11/17/2021,01/01/2020,11/13/2021,Female,<1 Year,15827,69
11/17/2021,01/01/2020,11/13/2021,Female,01 Year,1134,10
11/17/2021,01/01/2020,11/13/2021,Female,02 Years,721,6
11/17/2021,01/01/2020,11/13/2021,Female,03 Years,531,8
11/17/2021,01/01/2020,11/13/2021,Female,04 Years,467,9
11/17/2021,01/01/2020,11/13/2021,Female,05 Years,390,4
11/17/2021,01/01/2020,11/13/2021,Female,06 Years,368,7
11/17/2021,01/01/2020,11/13/2021,Female,07 Years,363,6
11/17/2021,01/01/2020,11/13/2021,Female,08 Years,339,8
11/17/2021,01/01/2020,11/13/2021,Female,09 Years,314,9
11/17/2021,01/01/2020,11/13/2021,Female,10 Years,344,6
11/17/2021,01/01/2020,11/13/2021,Female,11 Years,379,7
11/17/2021,01/01/2020,11/13/2021,Female,12 Years,478,10
11/17/2021,01/01/2020,11/13/2021,Female,13 Years,589,15
11/17/2021,01/01/2020,11/13/2021,Female,14 Years,666,18
11/17/2021,01/01/2020,11/13/2021,Female,15 Years,806,25
11/17/2021,01/01/2020,11/13/2021,Female,16 Years,986,24
11/17/2021,01/01/2020,11/13/2021,Female,17 Years,1175,37
11/17/2021,01/01/2020,11/13/2021,Female,18 Years,1620,44
11/17/2021,01/01/2020,11/13/2021,Female,19 Years,1739,72
11/17/2021,01/01/2020,11/13/2021,Female,20 Years,1945,80
11/17/2021,01/01/2020,11/13/2021,Female,21 Years,2181,74
11/17/2021,01/01/2020,11/13/2021,Female,22 Years,2251,129
11/17/2021,01/01/2020,11/13/2021,Female,23 Years,2501,126
11/17/2021,01/01/2020,11/13/2021,Female,24 Years,2580,137
11/17/2021,01/01/2020,11/13/2021,Female,25 Years,2886,171
11/17/2021,01/01/2020,11/13/2021,Female,26 Years,3099,174
11/17/2021,01/01/2020,11/13/2021,Female,27 Years,3395,217
11/17/2021,01/01/2020,11/13/2021,Female,28 Years,3649,235
11/17/2021,01/01/2020,11/13/2021,Female,29 Years,4080,267
11/17/2021,01/01/2020,11/13/2021,Female,30 Years,4440,359
11/17/2021,01/01/2020,11/13/2021,Female,31 Years,4551,388
11/17/2021,01/01/2020,11/13/2021,Female,32 Years,4920,419
11/17/2021,01/01/2020,11/13/2021,Female,33 Years,5191,426
11/17/2021,01/01/2020,11/13/2021,Female,34 Years,5298,445
11/17/2021,01/01/2020,11/13/2021,Female,35 Years,5645,496
11/17/2021,01/01/2020,11/13/2021,Female,36 Years,5882,545
11/17/2021,01/01/2020,11/13/2021,Female,37 Years,6261,550
11/17/2021,01/01/2020,11/13/2021,Female,38 Years,6591,642
11/17/2021,01/01/2020,11/13/2021,Female,39 Years,6996,688
11/17/2021,01/01/2020,11/13/2021,Female,40 Years,7332,783
11/17/2021,01/01/2020,11/13/2021,Female,41 Years,7723,844
11/17/2021,01/01/2020,11/13/2021,Female,42 Years,7894,918
11/17/2021,01/01/2020,11/13/2021,Female,43 Years,8200,1014
11/17/2021,01/01/2020,11/13/2021,Female,44 Years,8574,1081
11/17/2021,01/01/2020,11/13/2021,Female,45 Years,9059,1134
11/17/2021,01/01/2020,11/13/2021,Female,46 Years,9825,1264
11/17/2021,01/01/2020,11/13/2021,Female,47 Years,10539,1331
11/17/2021,01/01/2020,11/13/2021,Female,48 Years,11699,1572
11/17/2021,01/01/2020,11/13/2021,Female,49 Years,13109,1727
11/17/2021,01/01/2020,11/13/2021,Female,50 Years,14593,1911
11/17/2021,01/01/2020,11/13/2021,Female,51 Years,15265,1923
11/17/2021,01/01/2020,11/13/2021,Female,52 Years,16150,2082
11/17/2021,01/01/2020,11/13/2021,Female,53 Years,17334,2212
11/17/2021,01/01/2020,11/13/2021,Female,54 Years,18957,2432
11/17/2021,01/01/2020,11/13/2021,Female,55 Years,21278,2646
11/17/2021,01/01/2020,11/13/2021,Female,56 Years,23921,3011
11/17/2021,01/01/2020,11/13/2021,Female,57 Years,26448,3267
11/17/2021,01/01/2020,11/13/2021,Female,58 Years,28181,3623
11/17/2021,01/01/2020,11/13/2021,Female,59 Years,31326,3999
11/17/2021,01/01/2020,11/13/2021,Female,60 Years,33579,4308
11/17/2021,01/01/2020,11/13/2021,Female,61 Years,35787,4600
11/17/2021,01/01/2020,11/13/2021,Female,62 Years,37782,4988
11/17/2021,01/01/2020,11/13/2021,Female,63 Years,40312,5405
11/17/2021,01/01/2020,11/13/2021,Female,64 Years,41988,5638
11/17/2021,01/01/2020,11/13/2021,Female,65 Years,43409,5828
11/17/2021,01/01/2020,11/13/2021,Female,66 Years,44985,5994
11/17/2021,01/01/2020,11/13/2021,Female,67 Years,46554,6104
11/17/2021,01/01/2020,11/13/2021,Female,68 Years,48266,6410
11/17/2021,01/01/2020,11/13/2021,Female,69 Years,50197,6682
11/17/2021,01/01/2020,11/13/2021,Female,70 Years,52454,6770
11/17/2021,01/01/2020,11/13/2021,Female,71 Years,56213,7369
11/17/2021,01/01/2020,11/13/2021,Female,72 Years,60432,7794
11/17/2021,01/01/2020,11/13/2021,Female,73 Years,65507,8280
11/17/2021,01/01/2020,11/13/2021,Female,74 Years,63891,8311
11/17/2021,01/01/2020,11/13/2021,Female,75 Years,59589,7547
11/17/2021,01/01/2020,11/13/2021,Female,76 Years,64212,8064
11/17/2021,01/01/2020,11/13/2021,Female,77 Years,70126,8679
11/17/2021,01/01/2020,11/13/2021,Female,78 Years,71929,8966
11/17/2021,01/01/2020,11/13/2021,Female,79 Years,70502,8547
11/17/2021,01/01/2020,11/13/2021,Female,80 Years,71964,8601
11/17/2021,01/01/2020,11/13/2021,Female,81 Years,73899,8856
11/17/2021,01/01/2020,11/13/2021,Female,82 Years,76968,9235
11/17/2021,01/01/2020,11/13/2021,Female,83 Years,78569,9121
11/17/2021,01/01/2020,11/13/2021,Female,84 Years,80551,9418
11/17/2021,01/01/2020,11/13/2021,Female,85 Years and over,1085206,115789
11/17/2021,01/01/2020,11/13/2021,Male,<1 Year,19300,79
11/17/2021,01/01/2020,11/13/2021,Male,01 Year,1368,18
11/17/2021,01/01/2020,11/13/2021,Male,02 Years,936,5
11/17/2021,01/01/2020,11/13/2021,Male,03 Years,772,5
11/17/2021,01/01/2020,11/13/2021,Male,04 Years,597,5
11/17/2021,01/01/2020,11/13/2021,Male,05 Years,552,8
11/17/2021,01/01/2020,11/13/2021,Male,06 Years,478,3
11/17/2021,01/01/2020,11/13/2021,Male,07 Years,451,7
11/17/2021,01/01/2020,11/13/2021,Male,08 Years,402,9
11/17/2021,01/01/2020,11/13/2021,Male,09 Years,438,11
11/17/2021,01/01/2020,11/13/2021,Male,10 Years,506,10
